img,link,prod,price
https://www.bigbasket.com/media/uploads/p/mm/221404_20-bagrrys-crunchy-muesli-almond-raisins-and-honey.jpg,https://www.bigbasket.com/pd/221404/bagrrys-crunchy-muesli-almond-raisins-and-honey-1-kg/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Crunchy Muesli - Almond Raisins And Honey,575
https://www.bigbasket.com/media/uploads/p/mm/1206719_2-cadbury-chocolate-bar-fuse.jpg,https://www.bigbasket.com/pd/1206719/cadbury-chocolate-bar-fuse-2x25-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Chocolate Bar - Fuse,40
https://www.bigbasket.com/media/uploads/p/mm/216877_1-parle-monaco-salted-biscuits.jpg,https://www.bigbasket.com/pd/216877/parle-monaco-salted-biscuits-200-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Monaco Salted Biscuits,30
https://www.bigbasket.com/media/uploads/p/mm/1201325_1-sunfeast-yippee-noodles-magic-masala.jpg,https://www.bigbasket.com/pd/1201325/sunfeast-yippee-noodles-magic-masala-3x60-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Yippee Noodles - Magic Masala,36
https://www.bigbasket.com/media/uploads/p/mm/40130158_6-gooddiet-nutrition-bar-fig-flax-pumpkin-seeds.jpg,https://www.bigbasket.com/pd/40130158/gooddiet-nutrition-bar-fig-flax-pumpkin-seeds-40-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,"Nutrition Bar - Fig, Flax & Pumpkin Seeds",40
https://www.bigbasket.com/media/uploads/p/mm/218646_4-britannia-treat-jim-jam-cream-biscuits.jpg,https://www.bigbasket.com/pd/218646/britannia-treat-jim-jam-cream-biscuits-25-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Treat Jim Jam Cream Biscuits,5
https://www.bigbasket.com/media/uploads/p/mm/122620_7-kelloggs-corn-flakes.jpg,https://www.bigbasket.com/pd/122620/kelloggs-corn-flakes-475-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Corn Flakes,180
https://www.bigbasket.com/media/uploads/p/mm/1203122_1-bb-combo-dabur-100-pure-honey-500-gm-kelloggs-corn-flakes-original-475-gm.jpg,https://www.bigbasket.com/pd/1203122/bb-combo-dabur-100-pure-honey-500-gm-kelloggs-corn-flakes-original-475-gm-combo/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Dabur 100% Pure Honey 500 gm + Kelloggs Corn Flakes - Original 475 gm,379
https://www.bigbasket.com/media/uploads/p/mm/1204161_1-bb-combo-dark-fantasy-choco-fills-75-gm-yippee-noodles-magic-masala-240-gm.jpg,https://www.bigbasket.com/pd/1204161/bb-combo-dark-fantasy-choco-fills-75-gm-yippee-noodles-magic-masala-240-gm-combo/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Dark Fantasy - Choco Fills 75 Gm + Yippee Noodles - Magic Masala 240 Gm,76
https://www.bigbasket.com/media/uploads/p/mm/40018025_4-nissin-cup-noodles-mazedaar-masala.jpg,https://www.bigbasket.com/pd/40018025/nissin-cup-noodles-mazedaar-masala-70-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Cup Noodles - Mazedaar Masala,45
